asset_id,utc_time,asset_name,asset_type,asset_space,stepIndex_delta,cycleIndex_delta,flowQuantity_delta,stream_temperature,flowTimeIndex_delta,msgcount,anomaly_iforest
3121,2025-02-04 15:00:56.327000+00:00,FW49-KT-WM,Laundry,Kitchen,11228,0.0,7.485,0,59.75,1,1
2109,2025-02-04 20:26:01.687000+00:00,FW63-KT1-W,Laundry,Kitchen - utility room ,14556,0.0,9.704,0,60.0,1,1
2731,2025-02-04 05:53:49.542000+00:00,FW56-KT-FK,Faucet,Kichen,13189,0.0,8.792,1,60.0,1,1
2731,2025-02-04 07:50:48.907000+00:00,FW56-KT-FK,Faucet,Kichen,11744,1.0,7.829,1,55.75,1,1
2731,2025-02-04 12:05:47.511000+00:00,FW56-KT-FK,Faucet,Kichen,12093,1.0,8.062,1,57.25,1,1
2731,2025-02-04 19:50:44.952000+00:00,FW56-KT-FK,Faucet,Kichen,11421,1.0,7.614,1,53.25,1,1
2246,2025-02-04 22:24:28.637000+00:00,FW12-KT1-W,Laundry,Kitchen - utility room ,13954,2.0,9.302,0,45.0,1,1
3484,2025-02-04 15:49:35.011000+00:00,FW46-KT-W2,Laundry,Kitchen,14683,4.0,9.788,0,79.5,1,1
3484,2025-02-04 15:50:35.011000+00:00,FW46-KT-W2,Laundry,Kitchen,11906,1.0,7.938,0,60.0,1,1
3484,2025-02-04 15:55:34.988000+00:00,FW46-KT-W2,Laundry,Kitchen,11519,1.0,7.679,0,56.25,1,1
2101,2025-02-04 06:04:56.427000+00:00,FW46-KT1-FK,Faucet,Kitchen,34806,11.0,23.204,1,173.75,1,1
2101,2025-02-04 06:06:56.425000+00:00,FW46-KT1-FK,Faucet,Kitchen,51970,36.0,34.646,0,276.25,1,1
2101,2025-02-04 06:43:03.431000+00:00,FW46-KT1-FK,Faucet,Kitchen,24795,9.0,16.53,1,140.75,1,1
2101,2025-02-04 15:39:52.973000+00:00,FW46-KT1-FK,Faucet,Kitchen,17777,0.0,11.851,1,81.75,1,1
2101,2025-02-04 19:10:51.582000+00:00,FW46-KT1-FK,Faucet,Kitchen,19385,1.0,12.923,1,97.5,1,1
2806,2025-02-04 16:08:56.242000+00:00,FW19-KT1-D,Dishwasher,Dishwasher ,16190,3.0,10.793,0,276.0,1,1
2806,2025-02-04 20:45:10.424000+00:00,FW19-KT1-D,Dishwasher,Dishwasher ,21967,4.0,14.645,0,384.25,1,1
2729,2025-02-05 13:36:10.396000+00:00,FW34-KT1-W,Laundry,Kitchen - utility room ,11895,0.0,7.93,0,60.25,1,1
2731,2025-02-05 08:56:40.739000+00:00,FW56-KT-FK,Faucet,Kichen,11544,0.0,7.696,1,60.0,1,1
2731,2025-02-05 12:26:39.528000+00:00,FW56-KT-FK,Faucet,Kichen,11204,1.0,7.47,1,52.0,1,1
2157,2025-02-05 08:56:05.920000+00:00,FW41-KT1-W,Laundry,Utility room,11228,2.0,7.486,0,40.75,1,1
2157,2025-02-05 09:53:05.660000+00:00,FW41-KT1-W,Laundry,Utility room,16050,0.0,10.7,0,60.0,1,1
2157,2025-02-05 10:02:05.605000+00:00,FW41-KT1-W,Laundry,Utility room,16108,0.0,10.739,0,60.0,1,1
2157,2025-02-05 10:03:05.605000+00:00,FW41-KT1-W,Laundry,Utility room,11595,0.0,7.73,0,43.5,1,1
2157,2025-02-05 10:11:05.576000+00:00,FW41-KT1-W,Laundry,Utility room,11293,1.0,7.529,0,40.0,1,1
2829,2025-02-05 08:14:43.531000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,12919,1.0,8.613,0,58.5,1,1
2829,2025-02-05 08:18:43.510000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,13120,0.0,8.747,0,59.75,1,1
2829,2025-02-05 08:24:43.494000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,14190,0.0,9.46,0,59.75,1,1
2829,2025-02-05 10:18:42.977000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,13096,0.0,8.731,0,59.5,1,1
2829,2025-02-05 10:32:42.912000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,12556,1.0,8.371,0,57.0,1,1
2829,2025-02-05 10:36:42.903000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,13112,0.0,8.741,0,59.75,1,1
2829,2025-02-05 10:42:42.888000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,13735,0.0,9.157,0,60.0,1,1
2246,2025-02-05 00:47:28.009000+00:00,FW12-KT1-W,Laundry,Kitchen - utility room ,16385,1.0,10.924,0,52.25,1,1
2246,2025-02-05 01:00:27.959000+00:00,FW12-KT1-W,Laundry,Kitchen - utility room ,16459,1.0,10.972,0,51.5,1,1
2246,2025-02-05 21:02:22.667000+00:00,FW12-KT1-W,Laundry,Kitchen - utility room ,15890,0.0,10.593,0,52.0,1,1
2246,2025-02-05 23:24:22.051000+00:00,FW12-KT1-W,Laundry,Kitchen - utility room ,14678,1.0,9.785,0,52.0,1,1
2246,2025-02-05 23:37:21.988000+00:00,FW12-KT1-W,Laundry,Kitchen - utility room ,14416,1.0,9.611,0,45.25,1,1
2246,2025-02-05 23:38:21.981000+00:00,FW12-KT1-W,Laundry,Kitchen - utility room ,11351,0.0,7.567,0,35.5,1,1
2097,2025-02-05 20:03:34.042000+00:00,FW46-BA1-F,Faucet,Bathroom 1st floor - main,14026,4.0,9.351,1,96.25,1,1
3484,2025-02-05 10:38:29.413000+00:00,FW46-KT-W2,Laundry,Kitchen,11914,0.0,7.943,0,60.0,1,1
2812,2025-02-05 10:18:13.445000+00:00,FW65-KT1-W,Laundry,Washing machine ,11446,2.0,7.631,0,39.5,1,1
2812,2025-02-05 10:58:13.244000+00:00,FW65-KT1-W,Laundry,Washing machine ,16385,0.0,10.923,0,55.5,1,1
2812,2025-02-05 11:17:13.171000+00:00,FW65-KT1-W,Laundry,Washing machine ,13566,1.0,9.044,0,39.5,1,1
3031,2025-02-05 07:50:22.146000+00:00,FW67-KT1-W,Laundry,Kitchen,12464,0.0,8.309,0,60.25,1,1
3031,2025-02-05 07:57:22.124000+00:00,FW67-KT1-W,Laundry,Kitchen,13009,0.0,8.673,0,59.75,1,1
3031,2025-02-05 22:41:17.669000+00:00,FW67-KT1-W,Laundry,Kitchen,12925,0.0,8.617,0,60.0,1,1
3031,2025-02-05 23:00:17.570000+00:00,FW67-KT1-W,Laundry,Kitchen,13831,0.0,9.221,0,60.0,1,1
3031,2025-02-05 23:01:17.570000+00:00,FW67-KT1-W,Laundry,Kitchen,13286,0.0,8.857,0,58.0,1,1
2816,2025-02-05 21:16:11.218000+00:00,FW35-KT1-FK,Faucet,Kitchen sink,11366,0.0,7.578,1,60.0,1,1
3041,2025-02-05 12:28:42.691000+00:00,FW16-KT-WM,Laundry,Kichen,14580,0.0,9.72,0,60.25,1,1
3041,2025-02-05 12:43:42.611000+00:00,FW16-KT-WM,Laundry,Kichen,13827,1.0,9.218,0,57.25,1,1
3188,2025-02-05 19:06:52.317000+00:00,FW70-KT-WM,Laundry,Kitchen,12213,1.0,8.142,0,54.0,1,1
2101,2025-02-05 00:41:56.960000+00:00,FW46-KT1-FK,Faucet,Kitchen,62915,21.0,41.943,1,368.75,1,1
2101,2025-02-05 06:22:54.684000+00:00,FW46-KT1-FK,Faucet,Kitchen,60871,17.0,40.581,1,308.75,1,1
2101,2025-02-05 12:42:52.348000+00:00,FW46-KT1-FK,Faucet,Kitchen,56321,21.0,37.548,1,297.5,1,1
2101,2025-02-05 18:24:42.981000+00:00,FW46-KT1-FK,Faucet,Kitchen,28476,6.0,18.984,1,175.0,1,1
2101,2025-02-05 19:04:42.733000+00:00,FW46-KT1-FK,Faucet,Kitchen,37120,24.0,24.747,0,202.5,1,1
2101,2025-02-05 20:49:42.200000+00:00,FW46-KT1-FK,Faucet,Kitchen,14487,0.0,9.658,1,75.5,1,1
2101,2025-02-05 20:52:42.074000+00:00,FW46-KT1-FK,Faucet,Kitchen,12004,0.0,8.002,1,60.0,1,1
2100,2025-02-05 08:32:32.653000+00:00,FW46-BA2-T,WC,Bathroom 1st floor - ensuite ,17992,2.0,11.995,0,115.0,1,1
2120,2025-02-05 17:43:41.214000+00:00,FW03-KT1-W,Laundry,Kitchen - utility room ,16304,6.0,10.87,0,59.0,2,1
2806,2025-02-05 20:53:46.440000+00:00,FW19-KT1-D,Dishwasher,Dishwasher ,27505,5.0,18.336,0,476.75,1,1
2149,2025-02-06 18:21:31.714000+00:00,FW30-BA1-T,WC,Bathroom - 2nd floor,13115,1.0,8.743,0,44.75,1,1
2807,2025-02-06 19:59:01.027000+00:00,FW19-KT1-FK,Faucet,Kitchen sink cold,12652,10.0,8.434,0,52.0,1,1
2727,2025-02-06 06:09:02.543000+00:00,FW53-BA1-F,Faucet,Bathroom - 1st floor,14503,0.0,9.669,1,59.75,1,1
2147,2025-02-06 11:26:12.606000+00:00,FW30-KT1-FK,Faucet,Kitchen,11599,0.0,7.732,1,39.5,1,1
2147,2025-02-06 12:05:12.380000+00:00,FW30-KT1-FK,Faucet,Kitchen,13442,0.0,8.961,1,60.0,1,1
2147,2025-02-06 18:18:10.061000+00:00,FW30-KT1-FK,Faucet,Kitchen,11301,0.0,7.534,1,45.25,1,1
2738,2025-02-06 11:48:00.263000+00:00,FW09-KT1-W,Laundry,Kitchen - utility room ,11599,0.0,7.733,0,59.75,1,1
3092,2025-02-06 09:59:19.014000+00:00,FW62-BA-F,Faucet,Bathroom,13746,0.0,9.164,0,60.0,1,1
3086,2025-02-06 21:21:45.946000+00:00,FW20-BA-F,Faucet,Bathroom,15508,2.0,10.339,1,81.25,1,1
2246,2025-02-06 00:11:21.851000+00:00,FW12-KT1-W,Laundry,Kitchen - utility room ,15574,0.0,10.383,0,50.75,1,1
2246,2025-02-06 03:10:21.040000+00:00,FW12-KT1-W,Laundry,Kitchen - utility room ,11284,2.0,7.523,0,35.75,1,1
2246,2025-02-06 03:23:20.997000+00:00,FW12-KT1-W,Laundry,Kitchen - utility room ,17757,1.0,11.838,0,57.0,1,1
2246,2025-02-06 03:36:20.928000+00:00,FW12-KT1-W,Laundry,Kitchen - utility room ,19254,0.0,12.836,0,60.25,1,1
2246,2025-02-06 12:41:18.534000+00:00,FW12-KT1-W,Laundry,Kitchen - utility room ,14063,2.0,9.376,0,44.75,1,1
2246,2025-02-06 13:15:18.380000+00:00,FW12-KT1-W,Laundry,Kitchen - utility room ,13588,2.0,9.059,0,44.25,1,1
2246,2025-02-06 13:16:18.368000+00:00,FW12-KT1-W,Laundry,Kitchen - utility room ,12599,0.0,8.399,0,41.75,1,1
2246,2025-02-06 13:21:18.359000+00:00,FW12-KT1-W,Laundry,Kitchen - utility room ,18638,1.0,12.425,0,60.0,1,1
2246,2025-02-06 13:27:18.323000+00:00,FW12-KT1-W,Laundry,Kitchen - utility room ,12706,1.0,8.471,0,40.75,1,1
2246,2025-02-06 13:28:18.312000+00:00,FW12-KT1-W,Laundry,Kitchen - utility room ,11409,0.0,7.606,0,36.25,1,1
2736,2025-02-06 17:27:13.853000+00:00,FW43-KT1-FK,Faucet,Kitchen ,11806,0.0,7.871,1,60.25,1,1
2736,2025-02-06 17:28:13.853000+00:00,FW43-KT1-FK,Faucet,Kitchen ,11494,0.0,7.662,1,59.0,1,1
2135,2025-02-06 09:34:35.211000+00:00,FW26-BA1-T,WC,Bathroom 1st floor ,13155,1.0,8.77,0,41.0,1,1
2135,2025-02-06 23:10:30.749000+00:00,FW26-BA1-T,WC,Bathroom 1st floor ,12269,1.0,8.179,0,36.75,1,1
2816,2025-02-06 21:50:03.843000+00:00,FW35-KT1-FK,Faucet,Kitchen sink,12037,1.0,8.025,1,55.25,1,1
2731,2025-02-06 06:10:33.741000+00:00,FW56-KT-FK,Faucet,Kichen,13099,0.0,8.732,1,60.0,1,1
2731,2025-02-06 07:55:33.133000+00:00,FW56-KT-FK,Faucet,Kichen,12573,1.0,8.382,1,60.25,1,1
2731,2025-02-06 08:56:32.822000+00:00,FW56-KT-FK,Faucet,Kichen,11375,1.0,7.583,1,56.25,1,1
2731,2025-02-06 19:27:29.352000+00:00,FW56-KT-FK,Faucet,Kichen,12646,0.0,8.431,1,60.25,1,1
2806,2025-02-06 15:52:47.300000+00:00,FW19-KT1-D,Dishwasher,Dishwasher ,42202,12.0,28.135,0,726.0,1,1
2806,2025-02-06 22:48:52.761000+00:00,FW19-KT1-D,Dishwasher,Dishwasher ,21996,4.0,14.664,0,385.25,1,1
3154,2025-02-06 12:38:01.904000+00:00,FW10-KT-FK,Faucet,Kitchen,13401,0.0,8.934,1,60.25,1,1
2729,2025-02-06 22:02:00.684000+00:00,FW34-KT1-W,Laundry,Kitchen - utility room ,11844,0.0,7.896,0,60.0,1,1
3190,2025-02-06 14:48:23.130000+00:00,FW29-KT-FK,Faucet,Kitchen,14117,0.0,9.411,1,55.0,1,1
3190,2025-02-06 18:10:22.079000+00:00,FW29-KT-FK,Faucet,Kitchen,14108,0.0,9.405,1,45.0,1,1
2829,2025-02-06 08:24:37.075000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,11457,0.0,7.638,0,52.5,1,1
2829,2025-02-06 08:57:36.930000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,12366,1.0,8.244,0,55.75,1,1
2829,2025-02-06 08:58:36.930000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,11342,0.0,7.562,0,51.5,1,1
