utc_time,asset_id,asset_name,asset_type,asset_space,stepIndex_delta,cycleIndex_delta,flowQuantity_delta,stream_temperature,flowTimeIndex_delta,msgcount,z_score,z_anomaly,rolling_mean,rolling_std,rolling_anomaly,anomaly
2025-02-06 21:21:45.946000+00:00,3086,FW20-BA-F,Faucet,Bathroom,15508,2.0,10.339,1,81.25,1,2.7940121242213163,False,1.2812000000000001,3.1937997154208144,True,True
2025-02-06 08:21:14.429000+00:00,2132,FW42-KT1-D,Dishwasher,Kitchen,2677,1.0,1.785,0,25.75,1,0.32241995551581326,False,0.5761999999999999,0.7021617097695746,True,True
2025-02-06 08:22:14.429000+00:00,2132,FW42-KT1-D,Dishwasher,Kitchen,5162,0.0,3.441,0,50.75,1,0.800904481044959,False,0.7439,1.1031398067938605,True,True
2025-02-06 08:33:14.366000+00:00,2132,FW42-KT1-D,Dishwasher,Kitchen,4872,0.0,3.248,0,47.75,1,0.7451390743860672,False,1.1884000000000001,1.2734528041683755,True,True
2025-02-06 00:11:21.851000+00:00,2246,FW12-KT1-W,Laundry,Kitchen - utility room ,15574,0.0,10.383,0,50.75,1,2.80672548117982,False,3.106,2.6771069791432685,True,True
2025-02-06 02:49:21.137000+00:00,2246,FW12-KT1-W,Laundry,Kitchen - utility room ,7521,2.0,5.014,0,23.5,1,1.2554069923114726,False,1.3205000000000002,1.3377393243826867,True,True
2025-02-06 02:50:21.137000+00:00,2246,FW12-KT1-W,Laundry,Kitchen - utility room ,6127,0.0,4.085,0,20.0,1,0.9869817965285158,False,1.6252000000000002,1.5895545008306424,True,True
2025-02-06 03:10:21.040000+00:00,2246,FW12-KT1-W,Laundry,Kitchen - utility room ,11284,2.0,7.523,0,35.75,1,1.9803572788770685,False,2.3656999999999995,2.3756626233537093,True,True
2025-02-06 03:11:21.040000+00:00,2246,FW12-KT1-W,Laundry,Kitchen - utility room ,10800,0.0,7.2,0,35.5,1,1.8870296812044152,False,2.9811,2.761554169907437,True,True
2025-02-06 03:23:20.997000+00:00,2246,FW12-KT1-W,Laundry,Kitchen - utility room ,17757,1.0,11.838,0,57.0,1,3.227133080603073,True,4.0943,3.7952724993660523,True,True
